Accuracy ,0.774647887,,
positive,,,"@talk2GLOBE Alright, I will. Thanks! "
negative,,,@talk2GLOBE no problem at all maam/sir. It was my negligence that left me at zero balance. Thank you! :) 
negative,,,@talk2GLOBE can you please help me?! ninakaw ng 2363 na promo from globe ung load ko.Please I need my load back. :( 
neutral,,,@talk2GLOBE hahahahaha 
negative,,,naka2inis na ang Globe Telecom. Their inernet bundle is not working properly. Thinking of switching to another... http://t.co/GFwdkXoex6 
neutral,,,"@talk2GLOBE Yes, it's getting harder to browse, communicate and search for my thesis and other matters. how can we fix this po? "
negative,,,Nakakainis talaga yung @talk2GLOBE -_- Setbu!!! 
neutral,,,@enjoyGLOBE today is my 16yrs anniversary in the company. Proud to be kaGlobe #iLoveGlobe 
neutral,,,"@talk2GLOBE no, i havent thought of that since its not normal to need to restart the ur phone just because u have an LTE network. "
negative,,,Hi @talk2GLOBE is there any way that you can fix the signal here in our place?! Drop calls every time! Thanks. 
positive,,,@talk2GLOBE Thanks again! :-) 
neutral,,,"@talk2GLOBE Yea, hi. Just about the handset we ordered last April. Its still not yet delivered to us.. ? "
neutral,,,@talk2GLOBE Kindly see the screenshot. http://t.co/Yjl7k5fMpK 
positive,,,THANK YOU Globe Telecom / Globe Postpaid!!! http://t.co/udGAXvpaZy 
negative,,,"@talk2GLOBE @TemOfGlobe hi, nawala uli ang internet namin, ok naman ang phone. please cheack "
neutral,,,@talk2GLOBE tattoo stick sir/mam 
neutral,,,@enjoyGLOBE ano bayan -____- 
positive,,,"@talk2GLOBE aaww I thought at least 24 hours. :( anyway, thank you! :) "
neutral,,,@arianneramosmd my @enjoyGLOBE @ChooseTattoo connection is not allowing me to be quick about it. I guess it's time to get Smart =( 
negative,,,@geniusmavs25 Out muna ako.. Sumasakit ulo ko sa sobrang kabagalan ng internet ko. @talk2GLOBE 
neutral,,,@talk2GLOBE need help on my puk 
neutral,,,@kixxxxie @talk2GLOBE :: as usual kuya!!    Tweet me kung balik kana ha?? 
neutral,,,@talk2GLOBE upper bicutan/sm bicutan/DOST 
neutral,,,"Finally, my line got activated.. LTE nalang @talk2GLOBE.. ilang follow up kaya need??? "
neutral,,,"@geniusmavs25 @talk2GLOBE Sige, Tweet kita pag balik ko.. I'm out na! "
positive,,,@talk2GLOBE Hi g'pm. Is it possible to register to a text promo if I still have an existing GoSakto promo w/o texting promo. Thank you 
neutral,,,Received my phone bill. @talk2globe has some explaining to do. Agent told me I don't need to pay previous bill but why do I see it here now? 
neutral,,,pampatangal antok ang mp3 ko sa iphone ko dali mgdl mobile phone ko! @enjoyGLOBE kc 
neutral,,,exagge! globe is charging me 2k for NET USAGE which i didnt even use!!!!!! Naka-off naman cellular data ko! OUTRAGE! @talk2GLOBE 
neutral,,,since ive tried @enjoyGLOBE i never become interested sa ibang network! what for nasa globe na lahat ng needs ko 
negative,,,@talk2GLOBE may i know how long will this take? i suggest you revise the timeframe on your automatic reply. It is misleading/disappointing 
neutral,,,"@talk2GLOBE hi, i just went to 4 globe bus. ctrs. they dont have stocks to replace my simcard. where do you think i can find one? tnx! "
neutral,,,mas masarap ang kwentohan sa @enjoyGLOBE superduo no worries pa sa metro ng call 
negative,,,yong mag pinoy ayaw na ayaw naloloko kaya nga @enjoyGLOBE republic na ang pinasa kasi globe ang di manloloko 
neutral,,,"and come to think of it, we have wifi at home and in the office!!! NOT cool @talk2GLOBE #globesabaw "
neutral,,,@talk2GLOBE hi need assistance. please allow me to send you direct message. thanx. 
negative,,,sa @enjoyGLOBE tattoo stick ko walang lag bilis ng down loading ko kaya enjoy kaming barkada na magdl ng latest songs 
neutral,,,feeling great ako sa aking bb sarap manood ng video affordable pa promos ng @enjoyGLOBE 
positive,,,@talk2GLOBE Just sent you a DM with the details you required. Thank you. 
neutral,,,every thing is possible sa @enjoyGLOBE kaya nga number 1 globe eh 
neutral,,,maxi cool talaga ang 4g network ng @enjoyGLOBE kahit keri mag online 
neutral,,,@talk2GLOBE i would like to send it through DM not here but i cant coz ur not ff me 
positive,,,wimax is all i need to ease my boredom ang bilis ng loadin ang cute pa ng modem ko hehehe @enjoyGLOBE galing mo 
neutral,,,ang dali magapply ng plan sa @enjoyGLOBE kc ang daming nilang outlet nation wide 
neutral,,,@RJOfGlobe @talk2GLOBE DM SENT 
neutral,,,@talk2GLOBE Your technical team is still not coming and my internet is still acting up. Please fix soon because it has been months. 
neutral,,,@talk2GLOBE I have been conversing with you from time to time but still no action. 
neutral,,,"@talk2GLOBE Good. Also, tell them that it's treacherous to talk to a rep on the hotline because we get put on hold 3/4 of the time. "
negative,,,@talk2GLOBE Bbm's fckd up. ???? Helpppp anyone? 
positive,,,@talk2GLOBE hi. Jst wnna ask pano ko po mchcheck rmaining txts or mins of call ko. I alrdy tried *143# but i ddnt rcv any txt. :) thank you 
positive,,,"Finally, after 5 days, my Globe SIM is now activated.  Surf all I can is on!  Thanks @enjoyGLOBE "
neutral,,,"@enjoyGLOBE high speed internet connection plus landline with unlicall to globe and tm, perfect! "
neutral,,,@talk2GLOBE  can u pls help me deactivate my call baring for incoming and outgoing calls 
neutral,,,we never had a signal interruption here in leyte galing ng 4g ng @enjoyGLOBE 
positive,,,we're rockin' the fort to nyt! got free passes! thank dearest @enjoyGLOBE 
neutral,,,@talk2GLOBE The reps on the hotline always say that they can't help us because they have no idea what to do. WOW THEY'RE REPS please lang... 
negative,,,RT @BienvenidoJose: @talk2GLOBE still no internet??? How much patience must I have? Since the day I got you I had no internet!!!!! 
neutral,,,tinatarayan ang talk2globe livechat agent kasi nakakairita http://t.co/ojzgydaS0j 
neutral,,,planning perfect propusal to my gf good thing @enjoyGLOBE gave me 30% off sa camsur! goodluck to me next weekend! love u globe 
negative,,,"@talk2GLOBE plenty of times sir. nd ko na nga binubuksan yung phone ko, refresh lg ng refresh. :( kailangan ko na tlaga sir. "
negative,,,@talk2GLOBE I'm using Glove Tattoo Broadband. Okay naman ang signal nya dati. I just wonder what's wrong lately why the connection's slow. 
negative,,,walang pause pause ang panonood ng video sa laptop ko with my tattoo stick @enjoyGLOBE 
negative,,,"Hindi umabot ng 100 days, naactionan na ang unposted bill ko in 97th day. Thanks to Jay of Globe-Abreeza. @talk2GLOBE @KenOfGlobe "
neutral,,,"@talk2GLOBE yes, I'm referring to my consumables "
negative,,,waiting is not boring at all im with my bb social ei!  kaht saan soundtrip at fb fb lang lakas ng 4g ng @enjoyGLOBE ei 
neutral,,,Yes po :( @talk2GLOBE 
neutral,,,@talk2GLOBE Hello. How come my signal and net connection are fluctuating like crazy? 
neutral,,,@talk2globe i want to change my plan to best ever my super plan. How? 
neutral,,,exciting lagi byahe ko kasi sa 4g ng @enjoyGLOBE kaht saan may signal iphone 5 ko 
negative,,,tiwala akong magiging happy ending kmi ng besty dahil dahil di napuptol ang com. nmin kaht nasa abroad sya! tnx to tipidd @enjoyGLOBE! 
neutral,,,@talk2GLOBE pls do help me i cant either call ur hotline cuz of call barring 
neutral,,,when u really love some1 lahat gagawin mo to make them happy kaya binilhan ko bebe ko ng wimax ng @enjoyGLOBE tagal nya kasing gusto un 
negative,,,"Wow pinagpapasa-pasahan lang ng @talk2GLOBE ""online specialists"" ang tanong ko. Kagabi ko pa yun tanong wala paring sagot. Nice. "
negative,,,sobrang happy nag family sa @enjoyGLOBE superplan walang patid na communication at bilis na net may peso value pa 
negative,,,Happy kasi settled na ang case ko after 97 days but disappointed di umabot ng 100 days #globelove @talk2GLOBE @KenOfGlobe @DeniseOfGlobe 
neutral,,,@TemOfGlobe Please refer to my DMs with @talk2GLOBE. Been without connection for the past three weeks. 
negative,,,full of life talaga ang buhay with @enjoyGLOBE sarap ng bonding abot kaya pa 
negative,,,@talk2GLOBE March 29 I think. Or not so long before that. Total about deducted is P5.50 if I'm not mistaken :) 
positive,,,@youmightPAUL pwede baya ka mag reklamo sa @talk2globe :) ga tweet mna sila kung mag tweet ka about sa ilang connection 
neutral,,,tamang dl lang ng songs ngayon! bilis ng @enjoyGLOBE plan 799 ko 
negative,,,sarap talga sa @enjoyGLOBE tattoo sulit at nag bilis na ng connection may reward ka pa! 
positive,,,please fix the internet connection asap. thanks @talk2GLOBE 
neutral,,,ejoy to the max ang pagsusurf sa samsung 4 ko with LTE pa sarap! pdeng pde nag uploading ng photos and vids! tnx to @enjoyGLOBE 
neutral,,,jamming live kami lagi ng ate ko kaht nasa korea sya may @enjoyGLOBE muzta makes it possible 
negative,,,sa @enjoyGLOBE tipidd nagiging isang dipa lang ang million miles 
neutral,,,@talk2GLOBE @enjoyGlobe sana sa @SMARTCares @SMARTPromos na lang ako kumha ng plan. 
positive,,,tamang movie trip lang with my wify! thanks sa passes from @enjoyGLOBE 
negative,,,@talk2GLOBE for starters your sales team tricked us to upgrading to 2mbs over the phone without informing us of the 5gb cap per day 
neutral,,,@talk2GLOBE hello. why i don't have connection in my bb social the whole day?pls help 
neutral,,,ang laki ng agwat ng speed ng @enjoyGLOBE tattoo torque ko sa ibang net na gamit ng kabilang shop kaya mas maraming nagpupunta saamin! 
neutral,,,@talk2GLOBE for starters your sales team tricked us in upgrading to 2mbps over the phone without informing us of the 5gb cap per day 
positive,,,sa machine to machine ng @enjoyGLOBE business solution nagkaron na ako ng time sa mga anak ko! thanks alot 
positive,,,everyday @enjoyGLOBE gives freebies abd discount coupons to zalora and many more..san pa ba ako! 
neutral,,,sing lupet ng mga dinosaur ang 4g network ng @enjoyGLOBE d2 sa davao 
positive,,,@talk2GLOBE we would appreciatenthat we be reverted back to our old account setup without the cap its really not good business practice 
neutral,,,@dpgolez Globe as in Globe Telecom? Hahahaha. 
neutral,,,@talk2GLOBE line is ready for your installers. has been ready. bn trying to hv my dsl line installed @ 916 arnaiz in makati since march 
neutral,,,switching to @enjoyGLOBE tatto broadband is the great decision i ever made 
negative,,,"@talk2GLOBE simula nung nag register ako for unli social, May 30, anong petsa na ngayon???? Wala akong napala "
negative,,,@talk2GLOBE 30 mins na po ko nagreregister sa call and text services pero hindi po ako makaregister :( 
neutral,,,my @enjoyGLOBE adds color to my life! super galing eh 
negative,,,"Lumamig lang ang hangin, bumagal na ang internet connection?! Punyeta kayo @enjoyGLOBE ! "
negative,,,"Hanggang ngayon hindi pa din ako nirereplyan ng @talk2GLOBE! Important question pero wala sila reply. Pag di important, wagas maka-reply "
neutral,,,@talk2GLOBE I did. But everything was zero. Hahaha 
positive,,,ang bilis magtarabaho ng @enjoyGLOBE galing nila magtroubleshooting 
negative,,,@enjoyGLOBE sulit ang maxsurf170 ko 5days unli browsing may discount coupon pa 
neutral,,,"@talk2GLOBE hala! Paulit ulit? Unli? Tsk tsk. 09055540956 BB 8520, upper bicutan (sm bicutan, DOST) yng # ko broadcast pa! Nakoooooooo "
positive,,,@talk2GLOBE P5.50 po :) 
positive,,,"@talk2GLOBE I know something's being upgraded within your system but if possible, a copy or such of my unbilled charges would be great :) "
neutral,,,"@talk2globe my mobile number is 09277663251,and i live at daang amaya 2,tanza cavite,i live near Tanza National Comprehensive High School "
neutral,,,"@talk2GLOBE 09177797990, Blackberry 9220, Gran Plains Subdivision, Jaro, Iloilo City, Iloilo. Pagpasok turn left tas ika-3rd house sa left. "
neutral,,,@talk2GLOBE yea that's correct!! Everytime i go home this is always happening!! Dont know what to do.. 
neutral,,,@talk2GLOBE u really need to improve ur customer service BIGTIME!!! I mean it! 
negative,,,@talk2GLOBE Malapit sa Toyota dito sa Iloilo. Kaso wala ako dito sa bahay bukas kasi may class. Punta nlg ako sg Globe Store sa SM? 
negative,,,telebabad allday ngayong weekend! tnx sa superduo ng @enjoyGLOBE no worry sa metro unli ei 
neutral,,,@talk2GLOBE http://t.co/e2aEIrf9tV 
neutral,,,internet helps to nurture everychilds potential kaya i get my children a plan frm @enjoyGLOBE gaan pa sa bulsa 
negative,,,Globe Telecom ang ganda ng at lakas ng speed mo ngayon. Hanep. Sulit.. http://t.co/V1UMIRcu3J 
neutral,,,mataangko marg so kapamimikiran sa @enjoyGLOBE 
neutral,,,@talk2GLOBE Sorry for your concern. We were just having some jokes and laughs. We didn't mean to catch your attention. I'm terribly sorry. 
neutral,,,good partner sa business ang @enjoyGLOBE they dont let u down 
neutral,,,Nauulol na naman internet dine sa Tambo! Makikiayos ho @talk2GLOBE aba 
positive,,,trending ang mobile surfing ngayon. thank sa @enjoyGLOBE di aq napg-iiwanan dahil pasok sa budget ko ang superfb 
neutral,,,Want one??;) @ 2nd flr Globe Telecom Laurente Bldg http://t.co/BwI4GxWBVn 
positive,,,thanks to my @enjoyGLOBE dahil 4g network di ako nahuhuling magpasa ng balitang nasasagap ko my signal anywhere 
positive,,,thanks to my @enjoyGLOBE dahil 4g network di ako nahuhuling magpasa ng balitang nasasagap ko my signal anywhere 
neutral,,,With our new step-teammates. #lol I #love my #crazy #team as always. #followme for #fun @enjoyglobe÷ http://t.co/fGMCi8EbI6 
neutral,,,@talk2GLOBE Your new voice prompt options via 211 is a pain in the ass. Takes several options to get to talk to a cust srv agent. 
neutral,,,@talk2GLOBE  r u guys 24 hrs? 
neutral,,,it has been 2 days & I still cant recv any msg or calls. and the supposed-to-be csr's are ignoring me. #perwisyongglobe @talk2GLOBE 
positive,,,I really @enjoyGLOBE Blackberry services. :) 
negative,,,@talk2Globe why is the cavite connectivity for Globe is so poor? My mobile is always on SOS and broadband cannot connect. 
negative,,,Linti klasi internet ni. Fuck you @talk2globe 
negative,,,"@talk2GLOBE i can't use my superIDD, it's ringing on my end, but wlang call na ntatanggap yung tinatawagan ko. HEEELP!!!!!! "
positive,,,feeling blessed dahil sa figt ni mama na plan sa @enjoyGLOBE may free iphone pa power by LTE 
neutral,,,@talk2GLOBE any updates? 
negative,,,thanks for the daily weather update iphone ko from @enjoyGLOBE nakakaiwas ako sa hassle dala ng ulan 
negative,,,naging successful ang computer shop namin dahil we choose @enjoyGLOBE as our net provider bilis kc at walang lag 
neutral,,,@talk2GLOBE 87942285 
neutral,,,sa @enjoyGLOBE tattoo wimax ko smooth na smooth ang laro ko sa ran! tsarap! 
neutral,,,chillax na chillax lang here at figaro coffee i used my points sa @enjoyGLOBE platinum ko! rapsa! 
negative,,,"@JustJuly26: Finally, my line got activated.. LTE nalang @talk2GLOBE.. ilang follow up kaya need??? -simpleng taray??! "
neutral,,,crazy deal ang mga promos ng @enjoyGLOBE sarap ng LTE nila DL DL lng pag me time hehehe 
negative,,,puyatan to the max nanaman 2 nakakalerky kasi 4g iphone ko from my @enjoyGLOBE plan sarap magsurf no lags at all 
neutral,,,internet at home with risking my finances! carry yan sa @enjoyGLOBE tattoo plan 1099 ko 
negative,,,"@talk2GLOBE no need, settled everything in one of your business centers already.. Mischarged as usual.. *sigh* "
negative,,,umaga gang gabi katokes ko c jowawer sa dubai trpid kc ang @enjoyGLOBE tipidd parang nakacollect call lng sa haba ng usapan nmn 
neutral,,,super important ang internet sa students like me and good thing sa @enjoyGLOBE may flexi plans sila na sasakto sa budget ko 
positive,,,galing! i can also use my pts. pla sa EK...bongganes talga ang @enjoyGLOBE dalhin ko dun mga bata next weekend! thanks alot 
negative,,,Putang ina ng 3G service ng @talk2GLOBE 
neutral,,,@talk2GLOBE Yes I've turned it off many times... I can't even receive any text messages.... :( 
negative,,,Poor globe signal dito sa Balayan. Para tuloy gusto ko ng bumalik sa Lian. @talk2GLOBE 
negative,,,@talk2GLOBE pwede pa pcheck kung anong powersurf ako nkasubscribe? I think I've changed it from 299 to 99.Thank You! 
positive,,,birth day ng baby ko next week thanks sa @enjoyGLOBE dealership ko may panghanda na sya 
neutral,,,@talk2GLOBE pls help me with my concern 
neutral,,,dito sa davao karamihan naka@enjoyGLOBE 
neutral,,,dito sa davao karamihan naka @enjoyGLOBE 
neutral,,,@talk2GLOBE Bakit di po ako makapag unli. 
neutral,,,di ko ipagpapalit @enjoyGLOBE ko khit sa ibang sim khit libre pa di nla maabot ang speed ng globe noh 
positive,,,@talk2GLOBE how do i use my free internet from the promo in *143? 
neutral,,,@jericteng16 @talk2GLOBE gnyn tlga sa globe hrs kng mgreply. Minsan days pa. 
negative,,,mas lumalawak ang kaisipan ko dahil sa @enjoyGLOBE updated ako mundo 
neutral,,,Ano na ba ang nangyayari sa serbisyo ng @enjoyGLOBE  broadband hanggang ngayon bigla na lang napuputol ang connection ?????? grrrr 
neutral,,,switching to @enjoyGLOBE is just like finding ur perfect match.. 
neutral,,,"@talk2globe: I applied for a plan yesterday & they told us that it'll be approved within the day or today, but the unit would take weeks. "
neutral,,,@enjoyGLOBE never lets me down kaya lagi ontime deadlines ko... 
negative,,,sa @enjoyGLOBE go lng ng go ang buhay 
negative,,,Ano nanaman meron sa globe at anghina hina nanaman ng net? Bwiset! #talk2globe 
negative,,,@RJOfGlobe you are inconsistent!!!! you told me you'll get back on me last june 7. NOW WHATTT! @talk2GLOBE 
neutral,,,@talk2GLOBE hi I just want to ask if it is possible to apply for a line w/o a phone? I'll just apply for a sim? 
neutral,,,@talk2GLOBE yes.  There is no lte logo.oh my. Where can i buy lte ready sim cards?  Can you please help me? 
neutral,,,Hi @talk2GLOBE! I'm being charged per kb but my plan is unlisurf 1799. What's up with that? :/ 
neutral,,,@talk2GLOBE Allnet25 pero sabi po nakapag unli na ako e. Di naman po ako nagunli. Ginamit ko lang yun GTSOS. 
neutral,,,SRSLY @talk2Globe? I can't place any call??? 
negative,,,@talk2globe Check out my http://t.co/C26n1NNf2X result! What's your speed? http://t.co/r75nyi9F1m #speedtest #poorservice #globetelecom 
neutral,,,"@talk2GLOBE yes, but I can't stop thinking why Jay can easily do it in one setting yet tens of globe staff haven't think of that way. "
neutral,,,@talk2GLOBE Dm ko nalang po. 
neutral,,,@talk2GLOBE Pa follow po para ma dm 
neutral,,,"@talk2GLOBE and we reached 97 days to be exact.  A refresher, I think is needed in resolving a case like mine. #justconcern "
positive,,,Ï@talk2GLOBE: @jesssaa Hello Jessa! Received your reply from Harry. Tweet us anytime should you need assistance. #GlobeGlad2ServeÓ 
positive,,,@talk2GLOBE none at the moment.. I just hope that it won't ever happen again.. Thanks anyway! 
negative,,,"Nawawalan po ng net twing umuulan and most evenings, parang pagong. :((( huhuhu. @talk2Globe "
negative,,,Ugh? I have no signal?! #iStress @talk2GLOBE 
neutral,,,@talk2GLOBE Dm'ed 
negative,,,@enjoyGLOBE di ako nageenjoy. Ayusin nyo internet connection ko. Bwisit. 
neutral,,,"@zsalovechito @talk2globe naku zsa,good luck tlga,sana nga matulungan ka nila "
negative,,,RT @tadzebo: @talk2globe Check out my http://t.co/C26n1NNf2X result! What's your speed? http://t.co/r75nyi9F1m #speedtest #poorservice #glo÷ 
negative,,,@talk2GLOBE laging walang signal po ;( 
negative,,,@ChrisOfGlobe @talk2GLOBE .. yaah! But not so convinced .. i think something is wrong .. iba sa nainform sa'ken .. :/ 
neutral,,,@talk2GLOBE what will happen if I exceed the maximum 1gb cap per day? 
negative,,,@talk2GLOBE No signal for unlidata as of tweet time per attached pic. http://t.co/3lPQUAVZ4k 
neutral,,,"@talk2GLOBE Hi, Can my sim be changed to LTE enabled sim? I'm currently using my sim for note but planning to insert it to my Xperia Z. "
neutral,,,@talk2GLOBE help. just got bill 77. I have incorrect wap charges again. Pls deduct this and credit back my consumable amt applied to wap.tnx 
negative,,,ang pangit tala ng connection ng globe di to sa batangas city @talk2GLOBE 
neutral,,,@talk2GLOBE i filed the report june7th. I thought globe's supposed to notify clients of the changes? http://t.co/wVJbrv2olu 
negative,,,@talk2GLOBE @ErikFelipe_ @enjoyGLOBE bakit ang bagal ng tatto laging 0.00kbps 
neutral,,,"@talk2GLOBE I've yet to receive my monthly bill for April, May and June. I need them on my email sana. Tnx. "
negative,,,Antagal naman matapos ng contract ko kay @talk2GLOBE lagi nalang 'sucky' ang service. #GlobeSabaw #globewalakwenta http://t.co/XttNWLACmw 
negative,,,@talk2GLOBE Okay na po ba ? Emergency lang po kasi talaga e. Kailangan ko po talaga magunli. 
neutral,,,"Good evening @talk2GLOBE. We just received our postpaid bill earlier today and the deadline was May 28, 2013. Why so late? :/ "
negative,,,@TemOfGlobe @talk2GLOBE what happened to my case already? 
negative,,,"As usual @talk2GLOBE, your service SUCKS! "
positive,,,@talk2GLOBE yes please. I DMed my email :( thanks 
negative,,,@talk2GLOBE Bakit hindi na po gumagana sa TM ang load cards? Sayang yung load card ko... Dati naman po pwede. Ngayon not permitted daw help. 
negative,,,@talk2GLOBE just received a message like this. Beware. http://t.co/7EPI2trs1t 
negative,,,@talk2GLOBE Wala po pang libreng load? Hehe. 
neutral,,,@talk2GLOBE You put me on hold for 1 hour and then disconnected my call. Now you say you can't help because it's past 10. 
negative,,,day 13 of waiting... @enjoyGlobe 
neutral,,,@talk2GLOBE yes. Im usually in edsa mandaluyong. 
neutral,,,@talk2GLOBE hi was on the line with a servc rep on hold for 5 mins then call drops. Just want to change my plan features 
neutral,,,What's with Globe Telecom's signal? :\ 
neutral,,,@talk2GLOBE yes. until now. E lang ang connection. 
neutral,,,@talk2GLOBE PLEASE CHECK YOUR DMs 
positive,,,@talk2GLOBE Thank you for informing me :) 
neutral,,,@talk2GLOBE make the rain stop. Please. 
neutral,,,@talk2GLOBE I'm so confused regarding sa postpaid ng S4 college student pwede na mka avail. Ano po ba mka requirements tnx ?? 
positive,,,@talk2GLOBE Okay po :) 
neutral,,,@talk2GLOBE do u handle landline concerns? 
positive,,,"@tatinchua @talk2GLOBE just sent you a DM, ma'am. Kindly check. Thank you. "
negative,,,Hey @talk2GLOBE whats wrong with the signal here in Pasay? Super fluctuating di ako ako makapag net ng maayos! 
neutral,,,@talk2GLOBE dm send 
negative,,,@talk2GLOBE it's working already. 
negative,,,@talk2GLOBE please fix your bad internet connection 
positive,,,@talk2GLOBE any updates re my request? Thanks! 
neutral,,,Please take me to a place with a better @talk2Globe reception. 
neutral,,,@talk2GLOBE 7.1 Bundle 1319 
positive,,,@talk2GLOBE sure :) 
neutral,,,Ï@Gerlish94: @talk2GLOBE make the rain stop. Please.Ó gagu to! Hahahaha 
positive,,,@talk2GLOBE Ok po :) 
neutral,,,@talk2GLOBE note3 coming soon? 
neutral,,,@talk2GLOBE shocking my bill now is 2815.94 and i dont even using my phone coz u dont have update yet for my bill how can thia be? 
negative,,,w@Imleoneustaquio Ayyyy wait! @talk2GLOBE tagal ng load nyo.. 
neutral,,,"Nag-load ako ng P40. Nag-reg. ako ng isang promo na worth P20 sbay naubos lhat ng load ko! Srsly @enjoyGLOBE, alam mo b ang 40 - 20 ha? -.- "
neutral,,,@talk2GLOBE Im not using my fone lately coZ i dont have the update billing and now my bill is 2815.94 how can this be then? 
positive,,,@talk2GLOBE I need to sleep. I'll just get back to you guys tomorrow. :) 
negative,,,@talk2GLOBE please follow me as well so I can DM you my account number. A report has already been created in my account 
positive,,,"@castillolian Glad to hear that, Lian. :) If you have something for us, you can also tweet @talk2GLOBE tonight. Cheers! "
positive,,,@talk2GLOBE surething! Thanks :) 
negative,,,@talk2GLOBE The signal is very unpredictable. We'll get good signals now and then a bit after it will be gone. What's wrong with this? Tsk 
positive,,,@TemOfGlobe @talk2GLOBE Will do! Thank you very much!! 
neutral,,,Hi @TemOfGlobe I sent you dm na. No reply yet from you @talk2GLOBE 
negative,,,@talk2globe waiting for your live chat agent on SMS. How long does this usually take before they reply? 
negative,,,"@talk2GLOBE uhm thank you, but I've already talk to one of ur agents and maaaksyonan daw nila un tmr probably. So we'll just wait but Thanks "
positive,,,"@talk2GLOBE I sure will! Thank you very much, Globe! "
positive,,,@enjoyGLOBE Hey please connect with Twitter Mobile. I wanna be able to post my tweets through SMS like in Facebook. Thanks! 
negative,,,"Totoo bang busy ang lahat ng agents ng @talk2GLOBE , wala pang sumasagot sa akin via call, text & tweet. Anyare sa customer service? "
negative,,,@benedictbernabe @talk2GLOBE Walang customer service. period. 
neutral,,,@joodsiedoo may poot ang tweet mo sa @talk2GLOBE 
negative,,,@talk2GLOBE You & customer service have asked me those same questions at least 4 times before. Answered them already. 
positive,,,@talk2globe @rjofglobe okay po. :) 
neutral,,,Why now globe? WHY. NOW. @talk2GLOBE 
positive,,,@talk2GLOBE dmed thanks! 
negative,,,"@benedictbernabe @talk2GLOBE Hahaha. Kasi wala naman talaga customer service ang Globe. Whenever me problema ako, tinitiis ko na lang. "
negative,,,@talk2GLOBE thank you aantayin ko nlng po ung technician & sorry about the tweet I just got pissed off. 
neutral,,,@talk2GLOBE there are internet and call roaming charges on my bill when I only used my phone to text.it also shows csl was the provider... 
neutral,,,I've been getting text message and calls from random people for months and they're all looking for Henry Sy. Wth. @talk2globe 
positive,,,@talk2globe @rjofglobe DMed po. :) 
neutral,,,@talk2GLOBE cont. when in fact the provider that i get there is either 3hk or smartone. Please rectify my bill asap... 
neutral,,,@joodsiedoo @talk2GLOBE di ko kayang tiisin 'teh. Makapag @SMARTCares na lang kaya. 
positive,,,@talk2GLOBE @karenfg Haha! Good luck! You will really need that with Globe. I'm glad I finally got Smart enough! #GlobeWaleeeyyy 
neutral,,,"Dear friends,lets help and report @talk2GLOBE to NTC! Whos with me? "
neutral,,,@benedictbernabe @talk2GLOBE @SMARTCares Pwede. Ako rin am considering that na. 
neutral,,,My iPhone's sleep/wake button is almost unresponsive! Will Globe replace it? @talk2GLOBE 
negative,,,@talk2GLOBE thanks. Hoping for a quick response. Bothered with it. 
neutral,,,@talk2GLOBE Exact time and place of the 80% of the time over the last 2 years (at least) that my signal is just Edge? Really? 
neutral,,,@talk2GLOBE di po agad nag update yung bill online and dito po sa phone . Postpaid po gamit ko. 
neutral,,,@talk2GLOBE @DeniseOfGlobe what specific plan po.?? 
neutral,,,"@talk2GLOBE not much of a big deal,Its just I'm the only Globe(maybe only) user among my blockmates , since UALLPLUS is not enough for calls "
negative,,,"@talk2GLOBE hi globe, still, 3G is not working properly. "
negative,,,Hay nako buti pa ang talk2globe ka-DM si crushie. </3 
neutral,,,@DandyDimataga08 @talk2GLOBE im with you!globe is a thief! 
positive,,,If i wud rate ur mobile data @talk2GLOBE @enjoyGlobe it wil be lower than very dissatisfied. :( #cavite 
neutral,,,@talk2GLOBE pano po gumana internet connection sa iPhone5? Nagregister kasi yung friend ko sa supersurf50 kaso ayaw po 
negative,,,@talk2GLOBE wala na namang signal pangtext/pangtawag pero may 3G. Buong araw na 'to. 
negative,,,@talk2GLOBE hay pag tagalog di nirereplyan? 
neutral,,,@talk2GLOBE hahaha same old tweets. Copy paste? 
positive,,,"@karenfg @talk2GLOBE Then, just the most recent will do. Thank you. We just really need the details for report creation. "
positive,,,@talk2GLOBE Hi! Can you please lessen sending advertisement msgs on this number: 09065415154. Thanks! x 
negative,,,Hi @talk2GLOBE i'm just wondering why my 3G is not working even if i have a good signal. Thanks! :) will wait for your reply ?? 
negative,,,"@talk2globe Any update about my inquiry thru email? Also, what is wrong with your signal? I can't use my wifi nor phone properly. "
negative,,,@talk2GLOBE stop checking and DO SOMETHING! Apr27-June9 NO INTERNET!!Damn Globe!! 
neutral,,,@eyahnism Sorry for the late revert. Could you kindly tweet or DM @talk2GLOBE the ff. details? Date and time of e... http://t.co/PDonFffMdN 
negative,,,"Thank you @talk2GLOBE sa ganda ng signal ng data services. Ang dapat na maayos na usapan, nauwi sa hindi pagkakaintindihan... Tsk tsk. "
neutral,,,@talk2GLOBE unfortunately only this. it couldn't load :( http://t.co/QhuXNnqMSC 
positive,,,@talk2GLOBE bukas ko nalang po isend sa inyo .at tsaka unfollow nyo na po ako medyo nahihiya po ako sa tweets at ittweet ko eh :) thanks po 
neutral,,,@shenlaus tapos ung cp na kinuha ko LTE ready tpos d LTE sim ung binigay sakin. How inconvenient.. hehe @talk2GLOBE 
neutral,,,@talk2GLOBE hi just want to ask I paid my bill via online banking.. I received my bill just now and (cont) http://t.co/qTm6BDEBTf 
